1606: T4_RUNE                                                          : Adept's Rune
3093: T4_HEAD_PLATE_HELL@1                                             : Adept's Demon Helmet
3094: T4_HEAD_PLATE_HELL@2                                             : Adept's Demon Helmet
3095: T4_HEAD_PLATE_HELL@3                                             : Adept's Demon Helmet
3096: T4_HEAD_PLATE_HELL@4                                             : Adept's Demon Helmet
3097: T5_HEAD_PLATE_HELL                                               : Expert's Demon Helmet
3098: T5_HEAD_PLATE_HELL@1                                             : Expert's Demon Helmet
3099: T5_HEAD_PLATE_HELL@2                                             : Expert's Demon Helmet
3100: T5_HEAD_PLATE_HELL@3                                             : Expert's Demon Helmet
3101: T5_HEAD_PLATE_HELL@4                                             : Expert's Demon Helmet
3102: T6_HEAD_PLATE_HELL                                               : Master's Demon Helmet
3103: T6_HEAD_PLATE_HELL@1                                             : Master's Demon Helmet
3104: T6_HEAD_PLATE_HELL@2                                             : Master's Demon Helmet
3105: T6_HEAD_PLATE_HELL@3                                             : Master's Demon Helmet
3106: T6_HEAD_PLATE_HELL@4                                             : Master's Demon Helmet
3107: T7_HEAD_PLATE_HELL                                               : Grandmaster's Demon Helmet
3108: T7_HEAD_PLATE_HELL@1                                             : Grandmaster's Demon Helmet
3109: T7_HEAD_PLATE_HELL@2                                             : Grandmaster's Demon Helmet
3110: T7_HEAD_PLATE_HELL@3                                             : Grandmaster's Demon Helmet
3111: T7_HEAD_PLATE_HELL@4                                             : Grandmaster's Demon Helmet
3112: T8_HEAD_PLATE_HELL                                               : Elder's Demon Helmet
3113: T8_HEAD_PLATE_HELL@1                                             : Elder's Demon Helmet
3114: T8_HEAD_PLATE_HELL@2                                             : Elder's Demon Helmet
3115: T8_HEAD_PLATE_HELL@3                                             : Elder's Demon Helmet
3116: T8_HEAD_PLATE_HELL@4                                             : Elder's Demon Helmet
3117: T4_ARMOR_PLATE_HELL                                              : Adept's Demon Armor
3118: T4_ARMOR_PLATE_HELL@1                                            : Adept's Demon Armor
3119: T4_ARMOR_PLATE_HELL@2                                            : Adept's Demon Armor
3120: T4_ARMOR_PLATE_HELL@3                                            : Adept's Demon Armor
3121: T4_ARMOR_PLATE_HELL@4                                            : Adept's Demon Armor
3122: T5_ARMOR_PLATE_HELL                                              : Expert's Demon Armor
3123: T5_ARMOR_PLATE_HELL@1                                            : Expert's Demon Armor
3124: T5_ARMOR_PLATE_HELL@2                                            : Expert's Demon Armor
3125: T5_ARMOR_PLATE_HELL@3                                            : Expert's Demon Armor
3126: T5_ARMOR_PLATE_HELL@4                                            : Expert's Demon Armor
3127: T6_ARMOR_PLATE_HELL                                              : Master's Demon Armor
3128: T6_ARMOR_PLATE_HELL@1                                            : Master's Demon Armor
3129: T6_ARMOR_PLATE_HELL@2                                            : Master's Demon Armor
3130: T6_ARMOR_PLATE_HELL@3                                            : Master's Demon Armor
3131: T6_ARMOR_PLATE_HELL@4                                            : Master's Demon Armor
3132: T7_ARMOR_PLATE_HELL                                              : Grandmaster's Demon Armor
3133: T7_ARMOR_PLATE_HELL@1                                            : Grandmaster's Demon Armor
3134: T7_ARMOR_PLATE_HELL@2                                            : Grandmaster's Demon Armor
3135: T7_ARMOR_PLATE_HELL@3                                            : Grandmaster's Demon Armor
3136: T7_ARMOR_PLATE_HELL@4                                            : Grandmaster's Demon Armor
3137: T8_ARMOR_PLATE_HELL                                              : Elder's Demon Armor
3138: T8_ARMOR_PLATE_HELL@1                                            : Elder's Demon Armor
3139: T8_ARMOR_PLATE_HELL@2                                            : Elder's Demon Armor
3140: T8_ARMOR_PLATE_HELL@3                                            : Elder's Demon Armor
3141: T8_ARMOR_PLATE_HELL@4                                            : Elder's Demon Armor
3142: T4_SHOES_PLATE_HELL                                              : Adept's Demon Boots
3143: T4_SHOES_PLATE_HELL@1                                            : Adept's Demon Boots
3144: T4_SHOES_PLATE_HELL@2                                            : Adept's Demon Boots
3145: T4_SHOES_PLATE_HELL@3                                            : Adept's Demon Boots
3146: T4_SHOES_PLATE_HELL@4                                            : Adept's Demon Boots
3147: T5_SHOES_PLATE_HELL                                              : Expert's Demon Boots
3148: T5_SHOES_PLATE_HELL@1                                            : Expert's Demon Boots
3149: T5_SHOES_PLATE_HELL@2                                            : Expert's Demon Boots
3150: T5_SHOES_PLATE_HELL@3                                            : Expert's Demon Boots
3151: T5_SHOES_PLATE_HELL@4                                            : Expert's Demon Boots
3152: T6_SHOES_PLATE_HELL                                              : Master's Demon Boots
3153: T6_SHOES_PLATE_HELL@1                                            : Master's Demon Boots
3154: T6_SHOES_PLATE_HELL@2                                            : Master's Demon Boots
3155: T6_SHOES_PLATE_HELL@3                                            : Master's Demon Boots
3156: T6_SHOES_PLATE_HELL@4                                            : Master's Demon Boots
3157: T7_SHOES_PLATE_HELL                                              : Grandmaster's Demon Boots
3158: T7_SHOES_PLATE_HELL@1                                            : Grandmaster's Demon Boots
3159: T7_SHOES_PLATE_HELL@2                                            : Grandmaster's Demon Boots
3160: T7_SHOES_PLATE_HELL@3                                            : Grandmaster's Demon Boots
3161: T7_SHOES_PLATE_HELL@4                                            : Grandmaster's Demon Boots
3162: T8_SHOES_PLATE_HELL                                              : Elder's Demon Boots
3163: T8_SHOES_PLATE_HELL@1                                            : Elder's Demon Boots
3164: T8_SHOES_PLATE_HELL@2                                            : Elder's Demon Boots
3165: T8_SHOES_PLATE_HELL@3                                            : Elder's Demon Boots
3166: T8_SHOES_PLATE_HELL@4                                            : Elder's Demon Boots
3167: T4_HEAD_PLATE_KEEPER                                             : Adept's Judicator Helmet
3168: T4_HEAD_PLATE_KEEPER@1                                           : Adept's Judicator Helmet
3169: T4_HEAD_PLATE_KEEPER@2                                           : Adept's Judicator Helmet
3170: T4_HEAD_PLATE_KEEPER@3                                           : Adept's Judicator Helmet
3171: T4_HEAD_PLATE_KEEPER@4                                           : Adept's Judicator Helmet
3172: T5_HEAD_PLATE_KEEPER                                             : Expert's Judicator Helmet
3173: T5_HEAD_PLATE_KEEPER@1                                           : Expert's Judicator Helmet
3174: T5_HEAD_PLATE_KEEPER@2                                           : Expert's Judicator Helmet
3175: T5_HEAD_PLATE_KEEPER@3                                           : Expert's Judicator Helmet
3176: T5_HEAD_PLATE_KEEPER@4                                           : Expert's Judicator Helmet
3177: T6_HEAD_PLATE_KEEPER                                             : Master's Judicator Helmet
3178: T6_HEAD_PLATE_KEEPER@1                                           : Master's Judicator Helmet
3179: T6_HEAD_PLATE_KEEPER@2                                           : Master's Judicator Helmet
3180: T6_HEAD_PLATE_KEEPER@3                                           : Master's Judicator Helmet
3181: T6_HEAD_PLATE_KEEPER@4                                           : Master's Judicator Helmet
3182: T7_HEAD_PLATE_KEEPER                                             : Grandmaster's Judicator Helmet
3183: T7_HEAD_PLATE_KEEPER@1                                           : Grandmaster's Judicator Helmet
3184: T7_HEAD_PLATE_KEEPER@2                                           : Grandmaster's Judicator Helmet
3185: T7_HEAD_PLATE_KEEPER@3                                           : Grandmaster's Judicator Helmet
3186: T7_HEAD_PLATE_KEEPER@4                                           : Grandmaster's Judicator Helmet
3187: T8_HEAD_PLATE_KEEPER                                             : Elder's Judicator Helmet
3188: T8_HEAD_PLATE_KEEPER@1                                           : Elder's Judicator Helmet
3189: T8_HEAD_PLATE_KEEPER@2                                           : Elder's Judicator Helmet
3190: T8_HEAD_PLATE_KEEPER@3                                           : Elder's Judicator Helmet
3191: T8_HEAD_PLATE_KEEPER@4                                           : Elder's Judicator Helmet
3192: T4_ARMOR_PLATE_KEEPER                                            : Adept's Judicator Armor
3193: T4_ARMOR_PLATE_KEEPER@1                                          : Adept's Judicator Armor
3194: T4_ARMOR_PLATE_KEEPER@2                                          : Adept's Judicator Armor
3195: T4_ARMOR_PLATE_KEEPER@3                                          : Adept's Judicator Armor
3196: T4_ARMOR_PLATE_KEEPER@4                                          : Adept's Judicator Armor
3197: T5_ARMOR_PLATE_KEEPER                                            : Expert's Judicator Armor
3198: T5_ARMOR_PLATE_KEEPER@1                                          : Expert's Judicator Armor
3199: T5_ARMOR_PLATE_KEEPER@2                                          : Expert's Judicator Armor
3200: T5_ARMOR_PLATE_KEEPER@3                                          : Expert's Judicator Armor
3201: T5_ARMOR_PLATE_KEEPER@4                                          : Expert's Judicator Armor
3202: T6_ARMOR_PLATE_KEEPER                                            : Master's Judicator Armor
3203: T6_ARMOR_PLATE_KEEPER@1                                          : Master's Judicator Armor
3204: T6_ARMOR_PLATE_KEEPER@2                                          : Master's Judicator Armor
3205: T6_ARMOR_PLATE_KEEPER@3                                          : Master's Judicator Armor
3206: T6_ARMOR_PLATE_KEEPER@4                                          : Master's Judicator Armor
3207: T7_ARMOR_PLATE_KEEPER                                            : Grandmaster's Judicator Armor
3208: T7_ARMOR_PLATE_KEEPER@1                                          : Grandmaster's Judicator Armor
3209: T7_ARMOR_PLATE_KEEPER@2                                          : Grandmaster's Judicator Armor
3210: T7_ARMOR_PLATE_KEEPER@3                                          : Grandmaster's Judicator Armor
3211: T7_ARMOR_PLATE_KEEPER@4                                          : Grandmaster's Judicator Armor
3212: T8_ARMOR_PLATE_KEEPER                                            : Elder's Judicator Armor
3213: T8_ARMOR_PLATE_KEEPER@1                                          : Elder's Judicator Armor
3214: T8_ARMOR_PLATE_KEEPER@2                                          : Elder's Judicator Armor
3215: T8_ARMOR_PLATE_KEEPER@3                                          : Elder's Judicator Armor
3216: T8_ARMOR_PLATE_KEEPER@4                                          : Elder's Judicator Armor
3217: T4_SHOES_PLATE_KEEPER                                            : Adept's Judicator Boots
3218: T4_SHOES_PLATE_KEEPER@1                                          : Adept's Judicator Boots
3219: T4_SHOES_PLATE_KEEPER@2                                          : Adept's Judicator Boots
3220: T4_SHOES_PLATE_KEEPER@3                                          : Adept's Judicator Boots
3221: T4_SHOES_PLATE_KEEPER@4                                          : Adept's Judicator Boots
3222: T5_SHOES_PLATE_KEEPER                                            : Expert's Judicator Boots
3223: T5_SHOES_PLATE_KEEPER@1                                          : Expert's Judicator Boots
3224: T5_SHOES_PLATE_KEEPER@2                                          : Expert's Judicator Boots
3225: T5_SHOES_PLATE_KEEPER@3                                          : Expert's Judicator Boots
3226: T5_SHOES_PLATE_KEEPER@4                                          : Expert's Judicator Boots
3227: T6_SHOES_PLATE_KEEPER                                            : Master's Judicator Boots
3228: T6_SHOES_PLATE_KEEPER@1                                          : Master's Judicator Boots
3229: T6_SHOES_PLATE_KEEPER@2                                          : Master's Judicator Boots
3230: T6_SHOES_PLATE_KEEPER@3                                          : Master's Judicator Boots
3231: T6_SHOES_PLATE_KEEPER@4                                          : Master's Judicator Boots
3232: T7_SHOES_PLATE_KEEPER                                            : Grandmaster's Judicator Boots
3233: T7_SHOES_PLATE_KEEPER@1                                          : Grandmaster's Judicator Boots
3234: T7_SHOES_PLATE_KEEPER@2                                          : Grandmaster's Judicator Boots
3235: T7_SHOES_PLATE_KEEPER@3                                          : Grandmaster's Judicator Boots
3236: T7_SHOES_PLATE_KEEPER@4                                          : Grandmaster's Judicator Boots
3237: T8_SHOES_PLATE_KEEPER                                            : Elder's Judicator Boots
3238: T8_SHOES_PLATE_KEEPER@1                                          : Elder's Judicator Boots
3239: T8_SHOES_PLATE_KEEPER@2                                          : Elder's Judicator Boots
3240: T8_SHOES_PLATE_KEEPER@3                                          : Elder's Judicator Boots
3241: T8_SHOES_PLATE_KEEPER@4                                          : Elder's Judicator Boots
3242: T4_HEAD_PLATE_FEY                                                : Adept's Duskweaver Helmet
3243: T4_HEAD_PLATE_FEY@1                                              : Adept's Duskweaver Helmet
3244: T4_HEAD_PLATE_FEY@2                                              : Adept's Duskweaver Helmet
3245: T4_HEAD_PLATE_FEY@3                                              : Adept's Duskweaver Helmet
3246: T4_HEAD_PLATE_FEY@4                                              : Adept's Duskweaver Helmet
3247: T5_HEAD_PLATE_FEY                                                : Expert's Duskweaver Helmet
3248: T5_HEAD_PLATE_FEY@1                                              : Expert's Duskweaver Helmet
3249: T5_HEAD_PLATE_FEY@2                                              : Expert's Duskweaver Helmet
3250: T5_HEAD_PLATE_FEY@3                                              : Expert's Duskweaver Helmet
3251: T5_HEAD_PLATE_FEY@4                                              : Expert's Duskweaver Helmet
3252: T6_HEAD_PLATE_FEY                                                : Master's Duskweaver Helmet
3253: T6_HEAD_PLATE_FEY@1                                              : Master's Duskweaver Helmet
3254: T6_HEAD_PLATE_FEY@2                                              : Master's Duskweaver Helmet
3255: T6_HEAD_PLATE_FEY@3                                              : Master's Duskweaver Helmet
3256: T6_HEAD_PLATE_FEY@4                                              : Master's Duskweaver Helmet
3257: T7_HEAD_PLATE_FEY                                                : Grandmaster's Duskweaver Helmet
3258: T7_HEAD_PLATE_FEY@1                                              : Grandmaster's Duskweaver Helmet
3259: T7_HEAD_PLATE_FEY@2                                              : Grandmaster's Duskweaver Helmet
3260: T7_HEAD_PLATE_FEY@3                                              : Grandmaster's Duskweaver Helmet
3261: T7_HEAD_PLATE_FEY@4                                              : Grandmaster's Duskweaver Helmet
3262: T8_HEAD_PLATE_FEY                                                : Elder's Duskweaver Helmet
3263: T8_HEAD_PLATE_FEY@1                                              : Elder's Duskweaver Helmet
3264: T8_HEAD_PLATE_FEY@2                                              : Elder's Duskweaver Helmet
3265: T8_HEAD_PLATE_FEY@3                                              : Elder's Duskweaver Helmet
3266: T8_HEAD_PLATE_FEY@4                                              : Elder's Duskweaver Helmet
3267: T4_ARMOR_PLATE_FEY                                               : Adept's Duskweaver Armor
3268: T4_ARMOR_PLATE_FEY@1                                             : Adept's Duskweaver Armor
3269: T4_ARMOR_PLATE_FEY@2                                             : Adept's Duskweaver Armor
3270: T4_ARMOR_PLATE_FEY@3                                             : Adept's Duskweaver Armor
3271: T4_ARMOR_PLATE_FEY@4                                             : Adept's Duskweaver Armor
3272: T5_ARMOR_PLATE_FEY                                               : Expert's Duskweaver Armor
3273: T5_ARMOR_PLATE_FEY@1                                             : Expert's Duskweaver Armor
3274: T5_ARMOR_PLATE_FEY@2                                             : Expert's Duskweaver Armor
3275: T5_ARMOR_PLATE_FEY@3                                             : Expert's Duskweaver Armor
3276: T5_ARMOR_PLATE_FEY@4                                             : Expert's Duskweaver Armor
3277: T6_ARMOR_PLATE_FEY                                               : Master's Duskweaver Armor
3278: T6_ARMOR_PLATE_FEY@1                                             : Master's Duskweaver Armor
3279: T6_ARMOR_PLATE_FEY@2                                             : Master's Duskweaver Armor
3280: T6_ARMOR_PLATE_FEY@3                                             : Master's Duskweaver Armor
3281: T6_ARMOR_PLATE_FEY@4                                             : Master's Duskweaver Armor
3282: T7_ARMOR_PLATE_FEY                                               : Grandmaster's Duskweaver Armor
3283: T7_ARMOR_PLATE_FEY@1                                             : Grandmaster's Duskweaver Armor
3284: T7_ARMOR_PLATE_FEY@2                                             : Grandmaster's Duskweaver Armor
3285: T7_ARMOR_PLATE_FEY@3                                             : Grandmaster's Duskweaver Armor
3286: T7_ARMOR_PLATE_FEY@4                                             : Grandmaster's Duskweaver Armor
3287: T8_ARMOR_PLATE_FEY                                               : Elder's Duskweaver Armor
3288: T8_ARMOR_PLATE_FEY@1                                             : Elder's Duskweaver Armor
3289: T8_ARMOR_PLATE_FEY@2                                             : Elder's Duskweaver Armor
3290: T8_ARMOR_PLATE_FEY@3                                             : Elder's Duskweaver Armor
3291: T8_ARMOR_PLATE_FEY@4                                             : Elder's Duskweaver Armor
3292: T4_SHOES_PLATE_FEY                                               : Adept's Duskweaver Boots
3293: T4_SHOES_PLATE_FEY@1                                             : Adept's Duskweaver Boots
3294: T4_SHOES_PLATE_FEY@2                                             : Adept's Duskweaver Boots
3295: T4_SHOES_PLATE_FEY@3                                             : Adept's Duskweaver Boots
3296: T4_SHOES_PLATE_FEY@4                                             : Adept's Duskweaver Boots
3297: T5_SHOES_PLATE_FEY                                               : Expert's Duskweaver Boots
3298: T5_SHOES_PLATE_FEY@1                                             : Expert's Duskweaver Boots
3299: T5_SHOES_PLATE_FEY@2                                             : Expert's Duskweaver Boots
3300: T5_SHOES_PLATE_FEY@3                                             : Expert's Duskweaver Boots
3301: T5_SHOES_PLATE_FEY@4                                             : Expert's Duskweaver Boots
3302: T6_SHOES_PLATE_FEY                                               : Master's Duskweaver Boots
3303: T6_SHOES_PLATE_FEY@1                                             : Master's Duskweaver Boots
3304: T6_SHOES_PLATE_FEY@2                                             : Master's Duskweaver Boots
3305: T6_SHOES_PLATE_FEY@3                                             : Master's Duskweaver Boots
3306: T6_SHOES_PLATE_FEY@4                                             : Master's Duskweaver Boots
3307: T7_SHOES_PLATE_FEY                                               : Grandmaster's Duskweaver Boots
3308: T7_SHOES_PLATE_FEY@1                                             : Grandmaster's Duskweaver Boots
3309: T7_SHOES_PLATE_FEY@2                                             : Grandmaster's Duskweaver Boots
3310: T7_SHOES_PLATE_FEY@3                                             : Grandmaster's Duskweaver Boots
3311: T7_SHOES_PLATE_FEY@4                                             : Grandmaster's Duskweaver Boots
3312: T8_SHOES_PLATE_FEY                                               : Elder's Duskweaver Boots
3313: T8_SHOES_PLATE_FEY@1                                             : Elder's Duskweaver Boots
3314: T8_SHOES_PLATE_FEY@2                                             : Elder's Duskweaver Boots
3315: T8_SHOES_PLATE_FEY@3                                             : Elder's Duskweaver Boots
3316: T8_SHOES_PLATE_FEY@4                                             : Elder's Duskweaver Boots
3317: T4_HEAD_PLATE_AVALON                                             : Adept's Helmet of Valor
3318: T4_HEAD_PLATE_AVALON@1                                           : Adept's Helmet of Valor
3319: T4_HEAD_PLATE_AVALON@2                                           : Adept's Helmet of Valor
3320: T4_HEAD_PLATE_AVALON@3                                           : Adept's Helmet of Valor
3321: T4_HEAD_PLATE_AVALON@4                                           : Adept's Helmet of Valor
3322: T5_HEAD_PLATE_AVALON                                             : Expert's Helmet of Valor
3323: T5_HEAD_PLATE_AVALON@1                                           : Expert's Helmet of Valor
3324: T5_HEAD_PLATE_AVALON@2                                           : Expert's Helmet of Valor
3325: T5_HEAD_PLATE_AVALON@3                                           : Expert's Helmet of Valor
3326: T5_HEAD_PLATE_AVALON@4                                           : Expert's Helmet of Valor
3327: T6_HEAD_PLATE_AVALON                                             : Master's Helmet of Valor
3328: T6_HEAD_PLATE_AVALON@1                                           : Master's Helmet of Valor
3329: T6_HEAD_PLATE_AVALON@2                                           : Master's Helmet of Valor
3330: T6_HEAD_PLATE_AVALON@3                                           : Master's Helmet of Valor
3331: T6_HEAD_PLATE_AVALON@4                                           : Master's Helmet of Valor
3332: T7_HEAD_PLATE_AVALON                                             : Grandmaster's Helmet of Valor
3333: T7_HEAD_PLATE_AVALON@1                                           : Grandmaster's Helmet of Valor
3334: T7_HEAD_PLATE_AVALON@2                                           : Grandmaster's Helmet of Valor
3335: T7_HEAD_PLATE_AVALON@3                                           : Grandmaster's Helmet of Valor
3336: T7_HEAD_PLATE_AVALON@4                                           : Grandmaster's Helmet of Valor
3337: T8_HEAD_PLATE_AVALON                                             : Elder's Helmet of Valor
3338: T8_HEAD_PLATE_AVALON@1                                           : Elder's Helmet of Valor
3339: T8_HEAD_PLATE_AVALON@2                                           : Elder's Helmet of Valor
3340: T8_HEAD_PLATE_AVALON@3                                           : Elder's Helmet of Valor
3341: T8_HEAD_PLATE_AVALON@4                                           : Elder's Helmet of Valor
3342: T4_ARMOR_PLATE_AVALON                                            : Adept's Armor of Valor
3343: T4_ARMOR_PLATE_AVALON@1                                          : Adept's Armor of Valor
3344: T4_ARMOR_PLATE_AVALON@2                                          : Adept's Armor of Valor
3345: T4_ARMOR_PLATE_AVALON@3                                          : Adept's Armor of Valor
3346: T4_ARMOR_PLATE_AVALON@4                                          : Adept's Armor of Valor
3347: T5_ARMOR_PLATE_AVALON                                            : Expert's Armor of Valor
3348: T5_ARMOR_PLATE_AVALON@1                                          : Expert's Armor of Valor
3349: T5_ARMOR_PLATE_AVALON@2                                          : Expert's Armor of Valor
3350: T5_ARMOR_PLATE_AVALON@3                                          : Expert's Armor of Valor
3351: T5_ARMOR_PLATE_AVALON@4                                          : Expert's Armor of Valor
3352: T6_ARMOR_PLATE_AVALON                                            : Master's Armor of Valor
3353: T6_ARMOR_PLATE_AVALON@1                                          : Master's Armor of Valor
3354: T6_ARMOR_PLATE_AVALON@2                                          : Master's Armor of Valor
3355: T6_ARMOR_PLATE_AVALON@3                                          : Master's Armor of Valor
3356: T6_ARMOR_PLATE_AVALON@4                                          : Master's Armor of Valor
3357: T7_ARMOR_PLATE_AVALON                                            : Grandmaster's Armor of Valor
3358: T7_ARMOR_PLATE_AVALON@1                                          : Grandmaster's Armor of Valor
3359: T7_ARMOR_PLATE_AVALON@2                                          : Grandmaster's Armor of Valor
3360: T7_ARMOR_PLATE_AVALON@3                                          : Grandmaster's Armor of Valor
3361: T7_ARMOR_PLATE_AVALON@4                                          : Grandmaster's Armor of Valor
3362: T8_ARMOR_PLATE_AVALON                                            : Elder's Armor of Valor
3363: T8_ARMOR_PLATE_AVALON@1                                          : Elder's Armor of Valor
3364: T8_ARMOR_PLATE_AVALON@2                                          : Elder's Armor of Valor
3365: T8_ARMOR_PLATE_AVALON@3                                          : Elder's Armor of Valor
3366: T8_ARMOR_PLATE_AVALON@4                                          : Elder's Armor of Valor
3367: T4_SHOES_PLATE_AVALON                                            : Adept's Boots of Valor
3368: T4_SHOES_PLATE_AVALON@1                                          : Adept's Boots of Valor
3369: T4_SHOES_PLATE_AVALON@2                                          : Adept's Boots of Valor
3370: T4_SHOES_PLATE_AVALON@3                                          : Adept's Boots of Valor
3371: T4_SHOES_PLATE_AVALON@4                                          : Adept's Boots of Valor
3372: T5_SHOES_PLATE_AVALON                                            : Expert's Boots of Valor
3373: T5_SHOES_PLATE_AVALON@1                                          : Expert's Boots of Valor
3374: T5_SHOES_PLATE_AVALON@2                                          : Expert's Boots of Valor
3375: T5_SHOES_PLATE_AVALON@3                                          : Expert's Boots of Valor
3376: T5_SHOES_PLATE_AVALON@4                                          : Expert's Boots of Valor
3377: T6_SHOES_PLATE_AVALON                                            : Master's Boots of Valor
3378: T6_SHOES_PLATE_AVALON@1                                          : Master's Boots of Valor
3379: T6_SHOES_PLATE_AVALON@2                                          : Master's Boots of Valor
3380: T6_SHOES_PLATE_AVALON@3                                          : Master's Boots of Valor
3381: T6_SHOES_PLATE_AVALON@4                                          : Master's Boots of Valor
3382: T7_SHOES_PLATE_AVALON                                            : Grandmaster's Boots of Valor
3383: T7_SHOES_PLATE_AVALON@1                                          : Grandmaster's Boots of Valor
3384: T7_SHOES_PLATE_AVALON@2                                          : Grandmaster's Boots of Valor
3385: T7_SHOES_PLATE_AVALON@3                                          : Grandmaster's Boots of Valor
3386: T7_SHOES_PLATE_AVALON@4                                          : Grandmaster's Boots of Valor
3387: T8_SHOES_PLATE_AVALON                                            : Elder's Boots of Valor
3388: T8_SHOES_PLATE_AVALON@1                                          : Elder's Boots of Valor
3389: T8_SHOES_PLATE_AVALON@2                                          : Elder's Boots of Valor
3390: T8_SHOES_PLATE_AVALON@3                                          : Elder's Boots of Valor
3391: T8_SHOES_PLATE_AVALON@4                                          : Elder's Boots of Valor
3392: T1_HEAD_LEATHER_SET1                                             : Beginner's Mercenary Hood
3393: T2_HEAD_LEATHER_SET1                                             : Novice's Mercenary Hood
3394: T3_HEAD_LEATHER_SET1                                             : Journeyman's Mercenary Hood
3395: T4_HEAD_LEATHER_SET1                                             : Adept's Mercenary Hood
3396: T4_HEAD_LEATHER_SET1@1                                           : Adept's Mercenary Hood
3397: T4_HEAD_LEATHER_SET1@2                                           : Adept's Mercenary Hood
3398: T4_HEAD_LEATHER_SET1@3                                           : Adept's Mercenary Hood
3399: T4_HEAD_LEATHER_SET1@4                                           : Adept's Mercenary Hood
3400: T5_HEAD_LEATHER_SET1                                             : Expert's Mercenary Hood
3401: T5_HEAD_LEATHER_SET1@1                                           : Expert's Mercenary Hood
3402: T5_HEAD_LEATHER_SET1@2                                           : Expert's Mercenary Hood
3403: T5_HEAD_LEATHER_SET1@3                                           : Expert's Mercenary Hood
3404: T5_HEAD_LEATHER_SET1@4                                           : Expert's Mercenary Hood
3405: T6_HEAD_LEATHER_SET1                                             : Master's Mercenary Hood
3406: T6_HEAD_LEATHER_SET1@1                                           : Master's Mercenary Hood
3407: T6_HEAD_LEATHER_SET1@2                                           : Master's Mercenary Hood
3408: T6_HEAD_LEATHER_SET1@3                                           : Master's Mercenary Hood
3409: T6_HEAD_LEATHER_SET1@4                                           : Master's Mercenary Hood
3410: T7_HEAD_LEATHER_SET1                                             : Grandmaster's Mercenary Hood
3411: T7_HEAD_LEATHER_SET1@1                                           : Grandmaster's Mercenary Hood
3412: T7_HEAD_LEATHER_SET1@2                                           : Grandmaster's Mercenary Hood
3413: T7_HEAD_LEATHER_SET1@3                                           : Grandmaster's Mercenary Hood
3414: T7_HEAD_LEATHER_SET1@4                                           : Grandmaster's Mercenary Hood
3415: T8_HEAD_LEATHER_SET1                                             : Elder's Mercenary Hood
3416: T8_HEAD_LEATHER_SET1@1                                           : Elder's Mercenary Hood
3417: T8_HEAD_LEATHER_SET1@2                                           : Elder's Mercenary Hood
3418: T8_HEAD_LEATHER_SET1@3                                           : Elder's Mercenary Hood
3419: T8_HEAD_LEATHER_SET1@4                                           : Elder's Mercenary Hood
3420: T1_ARMOR_LEATHER_SET1                                            : Beginner's Mercenary Jacket
3421: T2_ARMOR_LEATHER_SET1                                            : Novice's Mercenary Jacket
3422: T3_ARMOR_LEATHER_SET1                                            : Journeyman's Mercenary Jacket
3423: T4_ARMOR_LEATHER_SET1                                            : Adept's Mercenary Jacket
3424: T4_ARMOR_LEATHER_SET1@1                                          : Adept's Mercenary Jacket
3425: T4_ARMOR_LEATHER_SET1@2                                          : Adept's Mercenary Jacket
3426: T4_ARMOR_LEATHER_SET1@3                                          : Adept's Mercenary Jacket
3427: T4_ARMOR_LEATHER_SET1@4                                          : Adept's Mercenary Jacket
3428: T5_ARMOR_LEATHER_SET1                                            : Expert's Mercenary Jacket
3429: T5_ARMOR_LEATHER_SET1@1                                          : Expert's Mercenary Jacket
3430: T5_ARMOR_LEATHER_SET1@2                                          : Expert's Mercenary Jacket
3431: T5_ARMOR_LEATHER_SET1@3                                          : Expert's Mercenary Jacket
3432: T5_ARMOR_LEATHER_SET1@4                                          : Expert's Mercenary Jacket
3433: T6_ARMOR_LEATHER_SET1                                            : Master's Mercenary Jacket
3434: T6_ARMOR_LEATHER_SET1@1                                          : Master's Mercenary Jacket
3435: T6_ARMOR_LEATHER_SET1@2                                          : Master's Mercenary Jacket
3436: T6_ARMOR_LEATHER_SET1@3                                          : Master's Mercenary Jacket
3437: T6_ARMOR_LEATHER_SET1@4                                          : Master's Mercenary Jacket
3438: T7_ARMOR_LEATHER_SET1                                            : Grandmaster's Mercenary Jacket
3439: T7_ARMOR_LEATHER_SET1@1                                          : Grandmaster's Mercenary Jacket
3440: T7_ARMOR_LEATHER_SET1@2                                          : Grandmaster's Mercenary Jacket
3441: T7_ARMOR_LEATHER_SET1@3                                          : Grandmaster's Mercenary Jacket
3442: T7_ARMOR_LEATHER_SET1@4                                          : Grandmaster's Mercenary Jacket
3443: T8_ARMOR_LEATHER_SET1                                            : Elder's Mercenary Jacket
3444: T8_ARMOR_LEATHER_SET1@1                                          : Elder's Mercenary Jacket
3445: T8_ARMOR_LEATHER_SET1@2                                          : Elder's Mercenary Jacket
3446: T8_ARMOR_LEATHER_SET1@3                                          : Elder's Mercenary Jacket
3447: T8_ARMOR_LEATHER_SET1@4                                          : Elder's Mercenary Jacket
3448: T1_SHOES_LEATHER_SET1                                            : Beginner's Mercenary Shoes
3449: T2_SHOES_LEATHER_SET1                                            : Novice's Mercenary Shoes
3450: T3_SHOES_LEATHER_SET1                                            : Journeyman's Mercenary Shoes
3451: T4_SHOES_LEATHER_SET1                                            : Adept's Mercenary Shoes
